4	Mexiko chcieť zaručiť bezpečnosť občan	Mexiko byť priať vyhnúť sa veľký násilie
4.2	Rusko ratifikovať aktualizovaný zmluva v rok 2004 ale spojený štát a ďalší člen nato to odmiesť tvrdiť že Moskva musieť najskôr splniť povinnosť stiahnuť sila z Gruzínsko a z moldavský separatistický región deňester	Rusko ratifikovať zmenený a doplnený verzia ale spojený štát a ďalší člen vláda nato to odmiesť kto ruský vláda nestiahnuť jednotka z bývalá sovietsky republika Moldavsko a Gruzínsko
3.2	existovať protichodný názor pokiaľ ísť o rozsah škoda ktorý vzniknúť povstanie	násilie pokračovať napriek protichodný názor na rozsah škoda ktorý utrpieť povstalecký skupina
5	provincia byť veľký región na výroba ópium na svet	provincia byť veľký producent ópium na svet
1.8	polícia uviesť že byť vydaný na	polícia uviesť že bola na útek
1.6	2 zo zatknutý osoba byť prepustenie	2 zo zatknutý byť mladistvý
4.6	mexický prezident vyslať do 2 800 zvláštny agent a vojak kvôli vysoký stupeň organizovaný zločin a obchod s droga	mexický prezident vyslať do 2 800 zvláštny agent a vojak aby bojovať proti obchodovanie s droga
1.8	v Berlín sa v október uskutočniť stretnutie na vysoký úroveň s cieľ zachrániť kľúčový európsky zmluva o kontrola zbraň konvenčný sila v Európa CFE	Rusko pozastaviť svoj účasť na kľúčový európsky zmluva o kontrola zbraň ktorý upravovať rozmiestnenie vojsko v Európa
1.8	stretnutie trvalo dva deÅˆ	stretnutie sa konaÅ¥ v Madrid
4.8	zmluva o bola podpísaný v rok 1990	zmluva bola založený v rok 1990
4.4	Irán trvať na ten že program byť zameraný výhradne na mierový činnosť ako byť generácia	Irán trvať na ten že jeho jadrový program slúžiť na mierový účel
3.4	Čína byť dôležitý sila na zabezpečenie svetový mier	Čína byť dôležitý sila na podpor svetový rozvoj
4.4	severný Kórea popierať účasť na jadrový program v Sýria	severný Kórea popierať účasť na akýkoľvek sýrsky jadrový projekt
1.2	hovorca spoločnosť nebyť okamžite k dispozícia pre	čínsky orgán nebyť okamžite k dispozícia na vyjadrenie
3.8	varovať že ak dôjsť k zákaz severokórejský plavidlo vláda severný by sa pomstiť útok jadrový raketa na veľký mesto ako York a Washington	vyhlásiť že severný Kórea sa pomstiť útok jadrový raketa na veľký mesto ako York a Washington DC.
3.8	Irán byť po Čína produktívny aplikátor trest smrť na svet	islamský republika byť po Čína plodný aplikátor trest smrť na svet
1.4	John byť veľký britský veľvyslanec pre mnohostranný kontrola zbraň a odzbrojenie	na zhromaždenie OSN čínsky vláda vyzývať na zvýšený úsilie zameraný na globálny kontrola zbraň a odzbrojenie
4	zmluva bola zmenený a doplnený v rok 1999 po rozpad sovietsky zväz	zmluva bola zmenený a doplnený v rok 1999 tak aby odrážať zmena od rozpad soviet
4.4	Kašmír byť rozdelený medza India a Pakistan	o kašmír sa hlásiť India aj Pakistan
1.4	južný Kórea a Izrael byť proti šírenie zbraň hromadný ničenie a preteky v	Čína sa rozhodne postaviť proti šírenie hromadne deštruktívny zbraň
3.4	varovať že my a britský zlyhanie v kompenzácia Líbya za jadrový odzbrojenie neodradiť Irán a severný od odzbrojenie	neschopnosť západný krajina dostatočne kompenzovať Líbya odradiť Irán a severný od odzbrojenie
3.4	Rusko ratifikovať zmenený a doplnený zmluva	Rusko ratifikovať aktualizovaný zmluva v rok 2004
3.4	zamestnanec 30 špecialista byť vykonávať výskum a školenie o kybernetický vojna a byť pripravený pomáhať člen nato pri reakcia na všetok budúca kybernetický útok	zamestnanec 30 špecialista byť vykonávať výskum a školenie o kybernetický vojna
3	mládežnícky krídlo i usporiadať samostatný demonštrácia v Kašmír	demonštrácia mládežnícky krídlo skupina i bola proti útok USA na Irak
3.8	Irán byť po Čína produktívny aplikátor trest smrť na svet	islamský republika byť po Čína plodný aplikátor trest smrť na svet
4.4	Čína sa rozhodne postaviť proti prostriedkom dodávanie hromadne ničivý zbraň	Čína sa vždy postaviť proti šírenie zbraň hromadný ničenie
3.4	porucha poriadok v Čína viesť k významný globálny nepokoj	rozpad objednávka v Čína byť horšiť ako v Afganistan alebo Juhoslávia
4	severný Kórea sa prihlásiť k jadrový ambícia a v súčasnosť sa uvádzať že severný Kórea mať raketa zameraný na Japonsko	severný Kórea sa môcť pochváliť jadrový ambícia a v súčasnosť sa uvádzať že v severný byť cvičený raketa
0.8	Abuja byť hlavná mesto	byť hlavná mesto Gruzínsko
4.6	vláda spojený štát obviniť iránsky vláda zo snaha vyvinúť jadrový zbraň pod záštita civilný jadrový program	USA a spojenec obviniť Irán z pokus o vývoj jadrový zbraň pod zámienka civilný jadrový program
1	Tirana byť hlavná mesto	Abuja byť hlavná mesto
3.2	pri ozbrojený stret iránsky polícia zabiť 4 údajný obchodník s droga 2 zatknúť a zaistiť takmer 5 metrický tona ópium a	počas ozbrojený stret na juhovýchod Irán policajt zaistiť takmer 5 metrický tona 55 tona ópium a
3.6	iránsky jadrový projekt slúžiť na mierový účel	Irán trvať na ten že jeho jadrový program slúžiť na mierový účel
4.2	Čína sa rozhodne postaviť proti šírenie hromadne deštruktívny zbraň	Čína sa rozhodne postaviť proti prostriedkom dodávanie hromadne ničivý zbraň
1.2	Čína byť blízky spojenec severný	severný Kórea byť samotársky sťať
4.2	líbyjský minister zahraničie Abdel Rahman navštíviť Londýn počas prvý návšteva líbyjský minister zahraničný vec od rok 1969	návšteva v Londýn byť prvý líbyjský minister zahraničný vec od rok 1969
3.6	uviesť že to predstavovať veľký hrozba pre globálny bezpečnosť	predstavovať veľký hrozba pre globálny bezpečnosť
2	Kambodža a Vietnam dokončiť dohoda o zastavenie ázijský a európsky obchodník s droga	sýrsky a ruský úradník podpísať dohoda o spolupráca v boj proti obchodovanie s droga
4.2	aktivista uviesť že Rusko človek bez dôkaz o nelegálny činnosť	Rusko uväzňovať človek bez dôkaz o nezákonný činnosť
3.8	obmedzovanie extrémistický skupina byť čoraz ťažko z dôvod spôsob financovanie tento skupina	uviesť zadržiavanúť extrémistický skupina najmä v celieť Európa byť čoraz ťažko z dôvod spôsob financovanie tento skupina
1.2	zabolieť byť mesto v juhovýchodný Irán	byť mesto v západný Irán
3.25	zadržaný osoba obvinený z vražda trestný spolupráca únos a financovanie terorizmus medza ktorý patriť aj príslušník armáda a polícia	uviesť že zadržanie byť obvinenie z vražda trestný spolupráca únos a financovanie terorizmus
4.2	existujúci tyč môcť vyrobiť 3 6 atómový bomba za 6 8 mesiac	odborník uviesť že tyč môcť vyrobiť 3 6 atómový bomba za 6 8 mesiac
2.4	medzinárodný agentúra pre atómový energia môcť byť podvedený pretože túžiť po dohoda	plán medzinárodný agentúra pre atómový energia uvádzať rokovanie na mnoho mesiac
4.6	mjanmarský vláda uviesť že Mjanmarsko sa do rok 2014 stan bez ópium	mjanmarský vláda uviesť že Mjanmarsko byť na dobrý cesta k ten aby do rok 2014 nebyť bez droga
4.4	židovský americký skupina ADL zverejniť v apríl 2008 celostránkový reklama vo švajčiarsky a medzinárodný novina obviňujúci Švajčiarsko z financovanie terorizmus prostredníctvo dohoda	liga proti hanobenie začiatkom apríl 2008 zverejniť celostranový reklama vo švajčiarsky a medzinárodný novina a obviniť Švajčiarsko z financovanie terorizmus prostredníctvo dohoda
1.8	Francúzsko poskytovať raketa zbraň a motor	Británia poskytovať palivový nádrž a prevodovka
3.2	medza hlavná trestný čin v Saudská Arábia patriť znásilnenie vražda odpadlíctvo ozbrojený lúpež a obchodovanie s droga	medza hlavná trestný čin v Irán patriť vražda znásilnenie ozbrojený lúpež vážne obchodovanie s droga a cudzoložstvo
3.4	byť veľký britský obranný spoločnosť	byť veľký britský armáda
2.8	my povedať že ministerka zahraničný vec ryža tvrdiť že Rusko zostávať otvorený dialóg	u s. minister zahraničný vec požadovať aby Rusko stiahnuť svoj sila
3.8	ďalší osoba a subjekt byť predmet zmrazenie majetok	rezolúcia obsahovať rozšírený zoznam fyzický a právnický osoba ktorý byť predmet zmrazenie majetok
3.4	odstúpenie od zmluva by umožniť Ruska posilniť sila v blízkosť ruský hranica	odstúpenie od zmluva s konvenčný sila v Európa by Ruska umožniť posilniť sila v blízkosť ruský hranica
1.8	uviesť že komisia sa primárne zaoberať termín budúca investícia na	fanúšik uviesť že komisia zabezpečiť dodržiavanie záväzok akonáhle byť investícia prebiehať
2.8	hovorca vláda uviesť že ak byť administratívne dokument v poriadok vláda juhoafrický republika nemôcť zasiahnuť aby zabrániť transport zbraň cez svoj územie do susedný vnútrozemský krajina	hovorca uviesť že pokiaľ byť administratívne dokument v poriadok aby juhoafrický republika nemôcť zasiahnuť aby zabrániť transport zbraň cez juhoafrický územie do Zimbabwe
3.2	vyhlásenie prezident byť zverejnený na kremeľský webový stránka a v plný rozsah on priniesť štátny spravodajský agentúra	vyhlásenie byť zverejnený na kremeľský webový stránka a doručený štátny spravodajský agentúra
1.8	Turkménsko hraničiť s Afganistan	hraničiť s Afganistan a Pakistan
3.4	počet poprava sa v Irán v minulo rok zvýšiť vďaka kampaň zameraný na zlepšenie bezpečnosť v spoločnosť	počet poprava v rok 2007 dramaticky vzrásť počas kampaň ktorý cieľ byť stav iránsky orgán zameraný na zlepšenie bezpečnosť v spoločnosť
5	Sýria popierať že by mala nelegálny jadrový program	Sýria popierať existencia čierny jadrový program
1.4	byť skupina pre právať so sídlo v Londýn	medzinárodný inštitút pre strategický štúdia sa nachádzať v Londýn
2.2	číslo 254 byť zostavený do tabuľka s počet zostavený z tlačový a svedecký sprava	počet poprava v Irán v rok 2007 bola vypočítaný z počet zostavený z tlačový sprava
5	iránsky vláda uviesť iránsky jadrový program zostávať mierový	iránsky vláda tvrdiť že jadrový program byť mierový
0.6	uviesť že byť veľmi ťažký vyrobiť jadrový zbraň z plutónium v tento palivo	uviesť že byť veľmi ťažký manipulovať s rádioaktívny izotop bez zanechanie stop
0.6	Paríž byť hlavná mesto Francúzska	Lima byť hlavná mesto
3.4	hovoriť indický vládny úradník pod podmienka anonymita	úradník hovoriť pod podmienka anonymita
4.6	Rusko viackrát pohroziť vystúpenie z CFE keď byť v rozpor so spojený štát nad USA plánovať inštalovať protiraketový štít na východ	Rusko opakovane pohroziť vystúpenie z CFE v rozpor s plán na rozšírenie štít protiraketový obrana USA do východný Európa
1.8	plán pre Tunisko byť vytvorenie elektronický databáza na uľahčenie výber daný	plán pre Nigéria a Mozambik byť vytvorenie elektronický databáza nehnuteľnosť
4.2	Čína oceniť medzinárodný spoločenstvo za úsilie o vyriešenie jadrový problém na kórejský polostrov	Čína oceniť najmä ázijský pacifický štát za úsilie o vyriešenie jadrový problém na kórejský polostrov
2.6	ruský ministerstvo zahraničie uviesť že Rusko neprerušiť dialóg	ruský úradník uviesť že Rusko pozastavenie prehodnotiť nebyť
2.8	z juhovýchodný Ázia musieť byť vylúčenie prevádzač zbraň a drogový kartel	pašerák zbraň a drogový kartel podnecovať terorista
4.8	nový zákon sa pokúšať odstrániť všetok právne prekážka brániaci budovanie vyspelý špionážny satelit a pomôcť inovácia v japonský vesmírny priemysel	účel nový zákon byť odstránenie akýkoľvek právny prekážka pri budovanie vyspelý špionážny satelit a podpora inovácia v japonský vesmírny priemysel
4.4	uviesť Čína sa stavať proti obmedzovanie mierový využívanie jadrový energia štát ktorý nie byť jadrový zbraň na základ nešírenie jadrový zbraň pretože mierový využitie jadrový energia byť zásadný cieľ NPT	uviesť že Čína byť proti využívanie nešírenie jadrový zbraň ako zámienka na obmedzenie a zbavenie štát ktorý nie byť jadrový zbraň právať na mierový využitie jadrový energia
4	expert na nešírenie zbraň z medzinárodný inštitút pre strategický štúdia uviesť že správa mala neobvyklý silný tenor	vedúci pracovník medzinárodný ústav pre strategický štúdia uviesť že plán medzinárodný agentúra pre atómový energia byť povrchný
4.2	zmluva obmedzovať počet lietadlo tank a iný nejadrový ťažký zbraň v celieť Európa	zmluva o konvenčný sila v Európa obmedzovať počet vojenský lietadlo tank a iný nejadrový ťažký zbraň v Európa
3.8	estónsky úradník uviesť že niektorý z kybernetický útok ktorý spôsobiť dočasný vypnutie estónsky vládny webový stránka pochádzať z počítač v správa Ruska vrátane kancelária prezident Vladimíra Putin	úradník v Estónsko vrátane predseda vláda ansipieť tvrdiť že niektorý z kybernetický útok pochádzať z počítač ruský vláda vrátane počítač v kancelária ruský prezident Vladimíra Putin
3.2	Británia uzavrieť dohoda o dodávka Arábia prúd tajfún v hodnota 8 miliarda libra asi 139 miliarda dolár	veľký Británia súhlasiť s dodávka Arábia prúd tajfún v hodnota 8 miliarda libra približne 139 miliarda dolár pre britský obranný spoločnosť
3.4	ópium byť surovina pre heroín	vlčí mak priniesť surovina pre heroín
3	spoločnosť látať odmiesť uviesť akýkoľvek podrobnosť o projekt severokórejský jadrový reaktor	južný Kórea zaujať k otázka projekt severokórejský jadrový reaktor zatiaľ opatrný postoj
3.4	cieľ dohoda byť nadviazať široký spolupráca v oblasť národný bezpečnosť a boj proti globálny terorizmus	vo vyhlásenie britský ministerstvo obrana uviesť cieľ dohoda byť nadviazať široký spolupráca v oblasť národný bezpečnosť a boj proti globálny terorizmus
3.4	mnoho z ten popravený v Irán byť obesený na verejnosť	veľa z popravený človek byť obesený na verejnosť
3.8	spojený štát a spojenec spojený štát veriť že Irán sledovať jadrový zbraň	spojený štát a niektorý európsky národ sa domnievať že iránsky jadrový projekt slúžiť na výroba jadrový zbraň
5	CFE byť pre európsky bezpečnosť veľmi dôležitý	CFE byť základný kameň európsky bezpečnosť
5	indický jednotka ktorý už bojovať proti rebel v Kašmír byť teraz zapojený do masívny kampaň zameraný na ničenie makový plodina v región	indický jednotka ktorý už bojovať proti rebel byť teraz tiež zapojený do masívny operácia zameraný na ničenie makový plodina v Kašmír
0	záležitosť byť delikátny	správa byť obmedzený
2.4	minulý týždeň Rusko oznámiť že pozastaviť účasť na CFE	nato ľutovať rozhodnutie Ruska pozastaviť účasť na CFE
3.6	USA ďalší západný národ a nato odsúdiť násilie	u s. ďalší západný národ a nato požadovať prímerie
2	indický štátny príslušník tvoriť veľký počet zahraničný väzeň v nepálsky väzenie	obchodník s droga z cudzina tvoriť veľký percento zahraničný väzeň v Nepál
4.2	súdny poriadok obviniť z financovanie terorizmus	súd obviniť z financovanie terorizmus
3.75	mjanmarský vojenský vládca spáliť nelegálne droga v hodnota približne 250 milión dolár aby byť pripomenúť medzinárodný deň boj proti zneužívanie droga a nedovolený obchodovanie	mjanmarský vojenský vládca spáliť droga pri príležitosť medzinárodný deň boj proti zneužívanie droga a nedovolený obchodovanie
4	iránsky úradník zvýšiť počet poprava v rok 2007 keď úradník presadzovať kampaň zameraný údajne na podpor cnosť a zvyšovanie bezpečnosť v spoločnosť	počet poprava sa v Irán v minulo rok zvýšiť vďaka kampaň zameraný na zlepšenie bezpečnosť v spoločnosť
3	India obviňovať Islamabad z financovanie a výcvik partizán	India obviňovať Pakistan z financovanie a odborný príprava cezhraničný partizán
3.6	následný bitka a nálet zabiť málo 10 ozbrojenec	následný bitka zabiť málo 10 ozbrojenec
1.8	komuniké panamský ministerstvo zahraničie uviesť že pracovný skupina uľahčiť technologický transfer a podporiť výroba a spotreba biopalivo	komuniké z panamský ministerstvo zahraničie uviesť že Panama a Brazília podpísať 3 zmluva o právnický otázka ktorý obsahovať vydanie
4.8	Vietnam patriť medza prísne drogový zákon na svet	vietnamský drogový zákon patriť medza prísne zákon na svet
3.2	indický vláda zakázať priamy alebo nepriamy vývoz a dovoz všetok položka materiál tovar a technológia ktorý by môcť prispieť k iránsky činnosť spojený s prepracovanie alebo s ťažký voda	India zakázať priamy alebo nepriamy vývoz a dovoz všetok predmet materiál tovar a technológia ktorý by môcť prispieť k dodávací systém iránsky jadrový zbraň
3.8	vietnamský tlačový agentúra uviesť že ministerstvo verejný bezpečnosť uviesť že cudzinec zapojenie do prípad obchodovanie s droga vo Vietnam pochádzať väčšina z Laos Kambodža Austrália Čína spojený štát a Taiwana	vietnamský tlačový agentúra uviesť že ministerstvo verejný bezpečnosť uviesť že polícia pripustiť že obchodovanie s droga do Vietnam sa zvyšovať ale opatrenie na prevencia a zastavenie obchodovanie s droga pozdĺž hranica byť naďalej obmedzený
5	uviesť vedúci tím bezpečný svet v oblasť kontrola transfer a ručný zbraň embargo EÚ zakazovať priamy alebo nepriamy dodávka vojenský vybavenie na použitie v Mjanmarsko	vedúci tím bezpečný svet pre kontrola transfer a ručný zbraň uviesť že embargo EÚ výslovne uvádzať že na použitie v Mjanmarsko by sa nemať priamo alebo nepriamo dodávať vojenský vybavenie
3.2	spojený štát a ďalší člen nato odmiesť ratifikovať zmenený a doplnený zmluva	spojený štát a ďalší člen nato odmiesť ratifikovať aktualizácia CFE
3.8	CFE obmedzovať použitie ozbrojený sila a ťažký zbraň a predpisovať opatrenie zameraný na budovanie dôvera transparentnosť a spolupráca medza členský štát	zmluva obmedzovať rozmiestnenie tank a vojak v krajina nato a krajina bývalý veľkonočný pakt o vojnový vojna a zavádzať opatrenie na budovanie dôvera transparentnosť a spolupráca medza členský štát
1	Bulharsko sa nachádzať v juhovýchodný časť balkánsky polostrov	v juhovýchodný časť balkánsky polostrov zúriť aktivita obchod s droga
4	uviesť že toto byť posledný šanca na vybudovanie bezpečnosť na blízko východ na základ dôvera a spolupráca a nie na držanie jadrový zbraň	toto byť posledný šanca na vybudovanie bezpečnosť na blízko východ skôr na základ dôvera a spolupráca ako na základ držba jadrový zbraň
2.2	iránsky vláda odmiesť obvinenie v spravodajský informácia predložený rad medzinárodný agentúra pre atómový energia ako nepodložený a spravodajský informácia použitý na ich podpor byť falošný	medzinárodný agentúra pre atómový energia trvať na ten že jednoduchý popieranie spravodajský informácia predložený rad medzinárodný agentúra pre atómový energia iránsky vláda nie byť dosť dobré na to aby vyvrátiť podozrenie západný krajina
3.2	zmluva bola založený v rok 1990	zmluva bola pôvodne podpísaný v rok 1990
4	zmluva o konvenčný sila v Európa sa považovať za kľúčový zmluva o kontrola zbraň	zmluva o konvenčný sila v Európa bola kľúčový zmluva o kontrola zbraň v sovietsky éra
3.8	Nikaragua byť pripomenúť 25. výročie revolúcia ktorý zvrhnúť diktatúra ale nastoliť ľavicový režim v kubánsky štýl	Nikaragua byť pripomenúť 25. výročie revolúcia
2.6	13 z Turecko byť zatknutý neďaleko Paríž pre podozrenie z pranie špinavý peniaze pre kurdský strana pracujúci PKK	10 byť vo Francúzska vyšetrovaný pre podozrenie z pranie špinavý peniaze pre teroristický organizácia známa ako kurdský robotnícky strana PKK
3.4	stretnutie trvať 2 deň	stretnutie trvalo dva deÅˆ
1.4	dedinčan sa neúmyselne zapájať do obchodovanie s droga	105 väzeň byť odpykávať trest za obchodovanie s droga
3.2	ruský vláda ostro vystupovať proti u s. plánovať inštalovať protiraketový obrana v Európa a prepúšťať u s. tvrdenie že zachytávač byť potrebný na obrana pred hrozba z Irán	po rokovanie v ústredie nato opakovať ruský odpor voči u s. plánovať inštalovať protiraketový obrana v Európa a prepustiť u s. tvrdenie že zachytávač byť potrebný na obrana pred potenciálny hrozba z Irán
5	univerzita spolupracovať s univerzita podnik a vládny sektor čínsky pevnina pri koordinácia výcvikový program a výskumný centrum na podpor špičkový technológia komercializácia a prenos technológia	univerzita spolupracovať s terciárny vzdelávanie obchodný a vládny sektor čínsky pevnina na program odborný príprava a výskumný centrum na podpor komercializácia výskum a prenos technológia
1	čínsky vláda poskytnúť organizácia aktívny spolupráca a pomoc pri zákaz inšpekcia chemický zbraň	ekvádorský ministerstvo zahraničný vec vo svoj vyhlásenie uviesť že stretnutie sa zúčastniť aj delegát organizácia pre zákaz chemický zbraň
5	mexický vláda prijať od rok 2006 v Mexiko séria opatrenie proti obchodovanie s droga a organizovaný zločin	od rok 2006 prijať Mexiko séria opatrenie proti obchodovanie s droga a organizovaný zločin
5	vyhlásenie nešpecifikovať množstvo hlavica ktorý byť raketa schopný niesť	vyhlásenie neurčiť koľko hlavica môcť raketa niesť
4.2	byť to vážny hrozba pre medzinárodný bezpečnosť	predstavovať veľký hrozba pre globálny bezpečnosť
2.4	Nikaragua byť pripomenúť 25. výročie revolúcia	Nikaragua sa nezmieriť s ten ako pristupovať k výročie revolúcia
