4	Mexiko chce zaručiť bezpečnosť občanov.	Mexiko si praje vyhnúť sa väčšiemu násiliu.
4.2	správy uvádzajú, že sýrska vláda na mieste napadnutia tajila jadrové zariadenie.	u.n. experti začali analyzovať správy, podľa ktorých sýrska vláda tajila jadrové zariadenie na napadnutom mieste.
3.4	droga je tiež známa ako ľad alebo shabu.	methamphetamine is also known as ice.
4	national, regional and international efforts to end the illicit trade in small arms and light weapons. 	globálne spoločenstvo musí spolupracovať na ukončení nezákonného obchodu s ručnými a ľahkými zbraňami.
4	v Pakistane pokračuje náboženský extrémizmus napriek zákazu militantných skupín.	v Pakistane pokračuje náboženský extrémizmus napriek zákazu militantných skupín pakistanskou vládou.
3.2	ruskí predstavitelia vyzvali na konferenciu o zmluve o konvenčných silách v Európe, na ktorej sa bude diskutovať o ratifikácii zmenenej a doplnenej zmluvy.	antonov spoke the day before a conference on the conventional forces in europe treaty.
4.4	ruský prezident Putin podpisuje dekrét o pozastavení uplatňovania európskej zmluvy o kontrole zbraní Ruskom.	Prezident Vladimir Putin podpísal dekrét o pozastavení účasti Ruska v konvenčných silách na európskej zmluve.
5	Mjanmarsko bolo predtým známe ako Barma.	Mjanmarsko sa predtým volalo Barma.
0	alt huallaga sa nachádza severovýchodne od hlavného mesta lima.	Puerto Cabezas sa nachádza 557 km severovýchodne od Nikaraguy Managua.
3.8	nato ľutuje rozhodnutie Ruska pozastaviť účasť na CFE.	Rozhodnutie Ruska pozastaviť účasť na CFE je krokom zlým smerom.
4.2	Medzi porušenia ľudských práv v Mjanmarsku patria hromadné popravy, mučenie a nábor detských vojakov.	medzi tieto porušenia ľudských práv patria hromadné popravy, mučenie a nábor dieťaťa
2.4	general nikolai n. urakov stated by telephone that the state scientific center of applied microbiology has quite reliable systems of protection in case of emergency. 	generál Nikolai n. urakov je dlhoročným riaditeľom štátneho vedeckého centra aplikovanej mikrobiológie.
3.6	Spoločnosť Alstom o zákazku súťaží s japonskými a nemeckými krajinami.	alstom is competing against japanese company shinkansen and german company ice for the contract.
3.8	legislatíva je posledným úsilím Japonska pripísať viac prísnosti svojej prísne kontrolovanej armáde a zrušila by zákaz vojenského využívania vesmíru.	legislatíva je posledným úsilím Japonska pripísať väčšiu slobodu prísne kontrolovanej armáde, ktorá je technicky známa ako sila sebaobrany.
2	south korea launches new bullet train reaching 300 kph. 	Južná Kórea má systém guľových vlakov od 80. rokov.
2.2	Rusko je členom kvarteta na Blízkom východe.	russia is a member of the nsg.
4.6	anatoly sokolov announced-- soviet-built a-135 missile defense system around moscow is obsolete and inefficient. 	soviet-built a-135 missile defense system around moscow is obsolete and inefficient.
0.6	the deal has been in process for several years. 	the iaea has been investigating iran's nuclear activities for 4 years.
3.2	adherence to non-proliferation obligations will enhance mutual trust and foster international cooperation in nuclear energy. 	zhang yan stated that all countries should abide by non-proliferation obligations in order to enhance mutual trust and create a sound environment for international cooperation in nuclear energy.
4	francúzska energetická a dopravná spoločnosť alstom môže podpísať zmluvu na vybudovanie vysokorýchlostného železničného spojenia medzi pekingom a šanghajom.	Alstom môže podpísať zmluvu na vybudovanie vysokorýchlostného železničného spojenia medzi Pekingom a Šanghajom.
2	žiadny iný liek sa za desaťročia nestal takým integrálnym.	droga existuje už roky v iných formách.
3.4	medzinárodná agentúra pre atómovú energiu dosiahla dohodu s iránskymi úradníkmi, ktorá uviedla, že v súvislosti s iránskym jadrovým programom a činnosťami neexistujú žiadne ďalšie problémy a nejasnosti.	the accord said that there were no remaining issues and ambiguities regarding iran's nuclear program and activities.
3.8	beijing police apprehend more than 20 people including 8 foreigners in suspicion of using and trafficking drugs in 2 pubs in a popular downtown area. 	beijing police apprehended more than 20 people in suspicion of using and trafficking drugs in 2 downtown bars.
4.2	Rusko ratifikovalo aktualizovanú zmluvu v roku 2004, ale Spojené štáty a ďalší členovia nato to odmietli tvrdiť, že Moskva musí najskôr splniť povinnosti stiahnuť sily z Gruzínska a z moldavského separatistického regiónu trans-deňester.	Rusko ratifikovalo zmenenú a doplnenú verziu, ale Spojené štáty a ďalší členovia vlády nato to odmietli, kým ruská vláda nestiahne jednotky z bývalých sovietskych republík Moldavsko a Gruzínsko.
3.2	existuje protichodný názor, pokiaľ ide o rozsah škody, ktorá vznikla povstaniu.	násilie pokračuje napriek protichodným názorom na rozsah škôd, ktoré utrpeli povstalecké skupiny.
5	provincia helmand je najväčší región na výrobu ópia na svete.	provincia Helmand je najväčším producentom ópia na svete.
1.8	polícia uviedla, že tai-wen-huang bude vydaný na tchaj-wan.	polícia uviedla, že ... Čung bol na úteku.
1.6	2 zo zatknutých osôb boli prepustení.	2 zo zatknutých zambijcov sú mladiství.
4.6	mexican president felipe calderon has sent 2800 special agents and soldiers to sinaloa due to the high degree of organized crime and drug trafficking. 	mexický prezident Felipe Calderon vyslal do Sinaloa 2 800 zvláštnych agentov a vojakov, aby bojovali proti obchodovaniu s drogami.
1.8	v Berlíne sa v októbri uskutočnia stretnutia na najvyššej úrovni s cieľom zachrániť kľúčové európske zmluvy o kontrole zbraní konvenčné sily v Európe (CFE).	Rusko pozastavilo svoju účasť na kľúčovej európskej zmluve o kontrole zbraní, ktorá upravuje rozmiestnenie vojsk v Európe.
1.8	stretnutie osce trvalo dva dni.	stretnutie osce sa konalo v madride.
4.8	zmluva o cfe bola podpísaná v roku 1990.	zmluva cfe bola zalozena v roku 1990.
4.4	Irán trvá na tom, že program je zameraný výhradne na mierové činnosti, ako je generácia	iran insists that its nuclear program is for peaceful purposes
3.4	Čína je dôležitou silou na zabezpečenie svetového mieru.	Čína je dôležitou silou na podporu svetového rozvoja.
4.4	Severná Kórea popiera účasť na jadrovom programe v Sýrii.	Severná Kórea popiera účasť na akomkoľvek sýrskom jadrovom projekte.
1.2	hovorca spoločnosti Stockwell Day nebol okamžite k dispozícii pre	čínske orgány neboli okamžite k dispozícii na vyjadrenie.
3.8	Kim Mjong-chol varoval, že ak dôjde k zákazu severokórejských plavidiel, vláda Severnej Kórey by sa pomstila útokom jadrových rakiet na veľké mestá ako New York a Washington.	Kim Mjong-chol vyhlásil, že Severná Kórea sa pomstí útokom jadrových rakiet na veľké mestá ako New York a Washington DC.
3.8	Irán je po Číne najproduktívnejším aplikátorom trestu smrti na svete.	islamská republika je po Číne najplodnejším aplikátorom trestu smrti na svete.
1.4	john duncan je Veľkým britským veľvyslancom pre mnohostrannú kontrolu zbraní a odzbrojenie.	na zhromaždení OSN čínska vláda vyzýva na zvýšené úsilie zamerané na globálnu kontrolu zbraní a odzbrojenie.
4	zmluva bola zmenená a doplnená v roku 1999 po rozpade sovietskeho zväzu.	zmluva bola zmenená a doplnená v roku 1999 tak, aby odrážala zmeny od rozpadu Sovietov.
4.4	Kašmír je rozdelený medzi Indiu a Pakistan.	o kašmír sa hlási India aj Pakistan.
1.4	Južná Kórea a Izrael sú proti šíreniu zbraní hromadného ničenia a pretekom v zbrojení.	Čína sa rozhodne postaví proti šíreniu hromadne deštruktívnych zbraní.
3.4	kadhafi varuje, že nás a britské zlyhanie v kompenzácii Líbye za jadrové odzbrojenie neodradí Irán a Severnú Kóreu od odzbrojenia.	neschopnosť západných krajín dostatočne kompenzovať Líbyu odradí Irán a Severnú Kóreu od odzbrojenia.
3.4	Rusko ratifikovalo zmenenú a doplnenú zmluvu.	Rusko ratifikovalo aktualizovanú zmluvu v roku 2004.
3.4	Zamestnanci 30 špecialistov budú vykonávať výskum a školenie o kybernetickej vojne a budú pripravení pomáhať členom Nato pri reakcii na všetky budúce kybernetické útoky.	Zamestnanci 30 špecialistov budú vykonávať výskum a školenie o kybernetickej vojne.
3	jamaat-i-islami's youth wing staged a separate demonstration in kashmir. 	jamaat-i-islami's youth wing's demonstration was against a us attack on iraq.
3.8	iran is the most prolific applier of the death penalty in the world after china. 	islamská republika je po Číne najplodnejším aplikátorom trestu smrti na svete.
4.4	china will resolutely oppose the means of the delivery of mass destructive weapons. 	Čína sa vždy postavila proti šíreniu zbraní hromadného ničenia.
3.4	porucha poriadku v Číne povedie k významným globálnym nepokojom.	rozpad objednávok v Číne bude horší ako v Afganistane alebo Juhoslávii.
4	Severná Kórea sa prihlásila k jadrovým ambíciám a v súčasnosti sa uvádza, že Severná Kórea má rakety zamerané na Japonsko.	Severná Kórea sa môže pochváliť jadrovými ambíciami a v súčasnosti sa uvádza, že v Severnej Kórei sú cvičené rakety
0.8	abuja je hlavné mesto	Cchinvali je hlavným mestom Gruzínska.
4.6	vláda Spojených štátov obvinila iránsku vládu zo snahy vyvinúť jadrové zbrane pod záštitou civilného jadrového programu.	USA a spojenci obvinili Irán z pokusu o vývoj jadrových zbraní pod zámienkou civilného jadrového programu.
1	tirana je hlavným mestom	abuja je hlavné mesto
3.2	in an armed clash iranian police kill 4 alleged drug traffickers, arrest 2, and seize nearly 5 metric tons of opium and morphine. 	during armed clashes in southeastern iran police seized nearly 5 metric tons (5.5 tons) of opium and morphine.
3.6	Iránske jadrové projekty slúžia na mierové účely.	Irán trvá na tom, že jeho jadrový program slúži na mierové účely
4.2	Čína sa rozhodne postaví proti šíreniu hromadne deštruktívnych zbraní.	china will resolutely oppose the means of the delivery of mass destructive weapons.
1.2	Čína je najbližším spojencom Severnej Kórey.	severna korea je samotarsky stat.
4.2	libyan foreign minister abdel rahman shalgam visited london during the first visit by a libyan foreign minister since 1969. 	šalgámova návšteva v Londýne je prvou líbyjským ministrom zahraničných vecí od roku 1969.
3.6	goff stated that this presents a major threat to global security. 	it presents a major threat to global security.
2	cambodia and vietnam finalized an agreement to stop asian and european drug traffickers. 	sýrski a ruskí úradníci podpísali dohodu o spolupráci v boji proti obchodovaniu s drogami.
4.2	activists have stated that russia is imprisoning people without evidence of illegal activity. 	russia imprisons people without evidence of illegal activity.
3.8	obmedzovanie extrémistických skupín je čoraz ťažšie z dôvodu spôsobu financovania týchto skupín.	bruguiere stated-- restraining extremist groups particularly across europe was becoming increasingly difficult because of how the groups are financed.
1.2	zabol is a town in southeastern iran. 	khoramabad is a city in western iran.
3.25	zadržané osoby obvinené z vrážd, trestnej spolupráce, únosov a financovania terorizmu, medzi ktoré patria aj príslušníci armády a polície.	iguaran stated that the detainees will be accused of homicide, criminal collaboration, kidnappings and the funding of terrorism.
4.2	existujúce tyče mohli vyrobiť 3 - 6 atómových bômb za 6 - 8 mesiacov.	experts stated that the rods could produce 3-6 atomic bombs in 6-8 months.
2.4	the international atomic energy agency may have been tricked because it was eager for a deal. 	plán medzinárodnej agentúry pre atómovú energiu uvádza rokovania na mnoho mesiacov.
4.6	mjanmarská vláda uviedla, že Mjanmarsko sa do roku 2014 stane bez ópia.	mjanmarská vláda uviedla, že Mjanmarsko je na dobrej ceste k tomu, aby do roku 2014 nebolo bez drog.
4.4	židovsko-americká skupina Anti-Defamation League (ADL) zverejnila v apríli 2008 celostránkové reklamy vo švajčiarskych a medzinárodných novinách obviňujúcich Švajčiarsko z financovania terorizmu prostredníctvom dohody.	the anti-defamation league took out full-page advertisments in swiss and international newspapers earlier in april 2008 accusing switzerland of funding terrorism through the deal.
1.8	france provides the rockets, guns and engines. 	Británia poskytuje palivové nádrže a prevodovky.
3.2	capital offenses in saudi arabia include rape, murder, apostasy, armed robbery and drug trafficking. 	Medzi hlavné trestné činy v Iráne patria vraždy, znásilnenie, ozbrojené lúpeže, vážne obchodovanie s drogami a cudzoložstvo.
3.4	bae systems je najväčšia britská obranná spoločnosť.	bae systems je najväčšou britskou armádou
2.8	lavrov nám povedal, že ministerka zahraničných vecí Condoleezza ryže tvrdí, že Rusko zostáva otvorené dialógu.	u.s. minister zahraničných vecí Condoleezza požadoval, aby Rusko stiahlo svoje sily.
3.8	ďalšie osoby a subjekty sú predmetom zmrazenia majetku.	the resolution includes a broadened list of individuals and entities subject to an assets freeze.
3.4	withdrawal from the treaty would allow russia to bolster forces near russian borders. 	odstúpenie od zmluvy s konvenčnými silami v Európe by Rusku umožnilo posilniť sily v blízkosti ruských hraníc.
1.8	Fan uviedol, že komisia sa primárne zaoberá termínom budúcich investícií na Taiwane.	fan stated the commission will ensure the commitments are upheld once the investments are under way.
2.8	hovorca vlády Maseko uviedol, že ak budú administratívne dokumenty v poriadku, vláda juhoafrickej republiky nemôže zasiahnuť, aby zabránila transportu zbraní cez svoje územie do susednej vnútrozemskej krajiny.	hovorca themba maseko uviedol, že pokiaľ sú administratívne dokumenty v poriadku, aby juhoafrická republika nemohla zasiahnuť, aby zabránila transportu zbraní cez juhoafrické územie do zimbabwe.
3.2	president dmitry medvedev's statement was posted on the kremlin website and carried in full by state news agencies. 	vyhlásenie bolo zverejnené na kremeľskej webovej stránke a doručené štátnymi spravodajskými agentúrami.
1.8	Turkménsko hraničí s Afganistanom.	sistan-baluchestan hraničí s Afganistanom a Pakistanom.
3.4	the number of executions increased in iran last year amid a campaign that is aimed at improving security in society. 	počet popráv v roku 2007 dramaticky vzrástol počas kampane, ktorej cieľom je stav iránskych orgánov zameranej na zlepšenie bezpečnosti v spoločnosti.
5	syria denies having an undeclared nuclear program. 	syria denies the existence of an undeclared nuclear program.
1.4	amnesty international is a rights group based in london. 	medzinárodný inštitút pre strategické štúdie sa nachádza v Londýne.
2.2	the number 254 was tabulated with an afp count compiled from press and witness reports. 	počet popráv v Iráne v roku 2007 bol vypočítaný z počtu afp zostaveného z tlačových správ.
5	iránska vláda uviedla - iránsky jadrový program zostáva mierový.	iránska vláda tvrdí, že jadrový program je mierový.
0.6	shingarev said it is very difficult to make a nuclear weapon from the plutonium in this fuel. 	donohue said it is very difficult to manipulate radioactive isotopes without leaving a trail.
0.6	paris is the capital of france. 	lima je hlavným mestom
3.4	an indian government official spoke on condition of anonymity. 	the official spoke on condition of anonymity.
4.6	russia had threatened several times to withdraw from the cfe when it was at odds with the united states over u.s. plans to install a missile defense shield in eastern 	russia has repeatedly threatened withdrawal from the cfe in opposition to plans for the extension of the us missile defense shield to eastern europe.
1.8	plánom pre Tunisko je vytvorenie elektronických databáz na uľahčenie výberu daní.	the plan for nigeria and mozambique is the creation an electronic database for real estate.
4.2	Čína ocenila medzinárodné spoločenstvo za úsilie o vyriešenie jadrového problému na Kórejskom polostrove.	Čína ocenila najmä ázijsko-pacifické štáty za úsilie o vyriešenie jadrového problému na Kórejskom polostrove.
2.6	the russian foreign ministry stated that russia has not suspended dialogue. 	ruskí úradníci uviedli, že Rusko pozastavenie prehodnotiť nebude.
2.8	arms smugglers and drug cartels must be eliminated from southeast asia. 	arms smugglers and drug cartels abet terrorists.
4.8	the new law attempts to remove any legal obstacles to building more advanced spy satellites and to help innovation in japans's space industry. 	the purpose of the new law is to remove any legal obstacles to building more advanced spy satellites and to encourage innovation in japans's space industry.
4.4	Zhang uviedol - Čína sa stavia proti obmedzovaniu mierového využívania jadrovej energie štátmi, ktoré nie sú jadrovými zbraňami, na základe nešírenia jadrových zbraní, pretože mierové využitie jadrovej energie je zásadným cieľom NPT.	zhang yan stated that china opposes using non-proliferation as a pretext for restricting and depriving non-nuclear-weapon states of the right to peaceful use of nuclear energy.
4	expert na nešírenie zbraní z medzinárodného inštitútu pre strategické štúdie Mark fitzpatrick uviedol, že správa iaea - mala neobvykle silného tenora.	senior fellow at the international institute for strategic studies mark fitzpatrick stated that-- the international atomic energy agency plan is superficial.
4.2	zmluva obmedzuje počet lietadiel, tankov a iných nejadrových ťažkých zbraní v celej Európe.	the conventional forces in europe treaty limits the number of military aircraft, tanks and other non-nuclear heavy weapons in europe.
3.8	estonian officials stated that some of the cyber attacks that caused estonian government websites to shut down temporarily came from computers in the administration of russia including in the office of president vladimir putin. 	úradníci v Estónsku vrátane predsedu vlády andrus ansip tvrdili, že niektoré z kybernetických útokov pochádzali z počítačov ruskej vlády vrátane počítačov v kancelárii ruského prezidenta Vladimira Putina.
3.2	Británia uzavrela dohodu o dodávke saudskej arábie prúdmi tajfúnu v hodnote odhadovanej 8 miliárd libier (asi 13,9 miliárd dolárov).	Veľká Británia súhlasila s dodávkou saudskej arábie prúdmi tajfúnu v hodnote 8 miliárd libier (približne 13,9 miliárd dolárov) pre britskú obrannú spoločnosť bae systems.
3.4	opium is the raw ingredient for heroin. 	vlčí mak priniesol surovinu pre heroín.
3	Spoločnosť wi sung-lac odmietla uviesť akékoľvek podrobnosti o projekte severokórejského jadrového reaktora.	south korea has so far taken a cautious stance on the issue of the north korean nuclear reactor project.
3.4	the agreement aimed to establish a wider cooperation covering national security and the fight against global terrorism. 	in a statement the british ministry of defense stated-- the agreement aims to establish wider cooperation covering national security and the fight against global terrorism.
3.4	many of those executed in iran are hanged in public. 	many of the people executed are hanged in public.
3.8	the united states and the allies of the united states believe iran is pursuing nuclear arms. 	the united states and some european nations believe that iran's nuclear projects are for the purpose of making nuclear weapons.
5	the cfe is very important for european security. 	CFE je základným kameňom európskej bezpečnosti.
5	indian troops already fighting rebels in kashmir are now engaged in a massive campaign to destroy poppy crops in the region. 	indické jednotky, ktoré už bojujú proti rebelom, sú teraz tiež zapojené do masívnej operácie zameranej na ničenie makových plodín v Kašmíre.
0	záležitosť je delikátna.	the iaea report is restricted.
2.4	last week russia announced that it will suspend participation in the cfe. 	nato regrets russia's decision to suspend participation in the cfe.
3.6	USA, ďalšie západné národy a Nato odsúdili násilie.	the u.s., other western nations and nato demanded a cease-fire.
2	indian nationals constitute the largest number of foreign inmates in nepal prisons. 	obchodníci s drogami z cudziny tvoria najväčšie percento zahraničných väzňov v Nepále.
4.2	the judicial order accused raghad of funding terrorism. 	the court accused raghad saddam hussein of funding terrorism.
3.75	myanmar's military rulers burned approximately 250 million dollars worth of illegal drugs to mark the international day against drug abuse and illicit trafficking. 	mjanmarskí vojenskí vládcovia spálili drogy pri príležitosti medzinárodného dňa boja proti zneužívaniu drog a nedovolenému obchodovaniu.
4	iranian officials have increased executions in 2007 as officials enforce a campaign purportedly aimed at promoting virtue and boosting security in society. 	počet popráv sa v Iráne v minulom roku zvýšil vďaka kampani zameranej na zlepšenie bezpečnosti v spoločnosti.
3	india accuses islamabad of funding and training guerrillas. 	India obviňuje Pakistan z financovania a odbornej prípravy cezhraničných partizánov.
3.6	the ensuing battle and airstrikes killed at least 10 militants. 	následná bitka zabila najmenej 10 ozbrojencov.
1.8	komuniké panamského ministerstva zahraničia uviedlo, že pracovná skupina uľahčí technologický transfer a podporí výrobu a spotrebu biopalív.	the panamanian foreign ministry communique stated that panama and brazil signed 3 juridical-issue treaties that included an extradition
4.8	Vietnam patrí medzi najprísnejšie drogové zákony na svete.	vietnamské drogové zákony patria medzi najprísnejšie zákony na svete.
3.2	indická vláda zakázala priamy alebo nepriamy vývoz a dovoz všetkých položiek, materiálov, tovaru a technológií, ktoré by mohli prispieť k iránskym činnostiam spojeným s obohacovaním, prepracovaním alebo s ťažkou vodou.	india has prohibited direct or indirect export and import of all items, materials, goods and technology that could contribute to iran's nuclear weapons delivery systems.
3.8	vietnamská tlačová agentúra uviedla, že ministerstvo verejnej bezpečnosti uviedlo, že cudzinci zapojení do prípadov obchodovania s drogami vo Vietname pochádzajú väčšinou z Laosu, Kambodže, Austrálie, Číny, Spojených štátov a Taiwanu.	the vietnam news agency reported that the ministry of public security stated that police admitted that drug trafficking into vietnam is increasing but actions to prevent and stop the drug trafficking along the borders remained limited.
5	saferworld team leader on transfer controls and small arms roy isbister stated-- the eu embargo prohibits direct or indirect supply of military equipment for use in myanmar. 	saferworld team leader on transfer controls and small arms roy isbister stated that -- the eu embargo explicitly states that no military equipment should be supplied either directly or indirectly for use in myanmar.
3.2	the united states and other nato members have refused to ratify the amended treaty. 	the united states and other nato members have refused to do ratify the updates cfe.
3.8	CFE obmedzuje použitie ozbrojených síl a ťažkých zbraní a predpisuje opatrenia zamerané na budovanie dôvery, transparentnosť a spoluprácu medzi členskými štátmi.	the treaty limits deployments of tanks and troops in nato and former easter european warsaw pact countries and establishes confidence-building, transparency and cooperation measures between member
1	bulgaria is located on the southeastern part of the balkan peninsula. 	drug-trafficking activity is rampant in the southeastern part of the balkan peninsula.
4	elbaradei uviedol, že toto je posledná šanca na vybudovanie bezpečnosti na Blízkom východe na základe dôvery a spolupráce, a nie na držaní jadrových zbraní.	toto je posledná šanca na vybudovanie bezpečnosti na Blízkom východe skôr na základe dôvery a spolupráce ako na základe držby jadrových zbraní.
2.2	the iranian government has dismissed the allegations in the intelligence presented to the international atomic energy agency board as baseless and the intelligence used to support the allegations as fake. 	medzinárodná agentúra pre atómovú energiu trvá na tom, že jednoduché popieranie spravodajských informácií predložených rade medzinárodnej agentúry pre atómovú energiu iránskou vládou nie je dosť dobré na to, aby vyvrátilo podozrenie západných krajín.
3.2	zmluva cfe bola zalozena v roku 1990.	the treat was originally signed in 1990.
4	the conventional forces in europe treaty is considered a key arms control treaty. 	zmluva o konvenčných silách v Európe bola kľúčovou zmluvou o kontrole zbraní v sovietskej ére.
3.8	nicaragua commemorated the 25th anniversary of the sandinista revolution that toppled the dictatorship of anastasio somoza but imposed a cuban-style leftist regime. 	nicaragua commemorated the 25th anniversary of the sandinista revolution.
2.6	13 kurds from turkey were arrested near paris on suspicion of money-laundering for the kurdistan workers' party (pkk). 	10 kurds are under investigation in france on suspicion of money-laundering for a terrorist organization known as kurdistan workers' party (pkk).
3.4	the meetings lasted 2 days. 	stretnutie osce trvalo dva dni.
1.4	the villagers are inadvertently involving themselves in drug trafficking. 	105 inmates are serving sentences for drug trafficking.
3.2	the russian government strongly opposes u.s. plans to install antimissile defenses in europe and dismisses u.s. assertions that the interceptors are needed to defend against threats from iran. 	after talks at nato headquarters baluyevsky repeated russia's opposition to u.s. plans to install antimissile defenses in europe and dismissed u.s. assertions that the interceptors were needed to defend against potential threats from iran.
5	hongkongské univerzity spolupracujú s univerzitami, podnikmi a vládnym sektorom čínskej pevniny pri koordinácii výcvikových programov a výskumných centier na podporu špičkových technológií, komercializácie a prenosu technológií.	hongkongské univerzity spolupracovali s terciárnym vzdelávaním, obchodným a vládnym sektorom čínskej pevniny na usmerňovaní programov odbornej prípravy a výskumných centier na podporu komercializácie výskumu a prenosu technológií.
1	the chinese government gave active cooperation and assistance to the organization for the prohibition of chemical weapons inspections. 	the ecuadorian foreign ministry said in a statement that delegates from the organization for the prohibition of chemical weapons (opaq) will also take part in the meeting.
5	the mexican government has adopted a series of measures against drug trafficking and organized crime within mexico since 2006. 	od roku 2006 prijalo Mexiko sériu opatrení proti obchodovaniu s drogami a organizovaným zločinom.
5	the statement did not specify the quantity of warheads the missile is capable of carrying. 	the statement did not specify how many warheads the missile can carry.
4.2	je to vážna hrozba pre medzinárodnú bezpečnosť.	predstavuje veľkú hrozbu pre globálnu bezpečnosť.
2.4	Nikaragua si pripomenula 25. výročie sandinistickej revolúcie.	nicaragua has not reconciled how to approach the anniversary of the sandinista revolution.
4.2	ruský prezident Vladimir Putin tvrdí, že rozhodnutie ukončiť implementáciu zmluvy o konvenčných silách v Európe je reakciou na USA plány na zriadenie miest protiraketovej obrany vo východnej Európe a na to, že Nato neratifikovalo zmenenú a doplnenú verziu zmluvy.	russian president vladimir putin states that the decision is a response to u.s. plans to establish missile defense sites in eastern europe and to nato's failure to ratify an amended version of the treaty.
2.6	dutch national research institute tno carried out chemical weapons experiments for the dutch defense ministry during the 1950s. 	a hp/detijd journalist learned about tno's chemical weapons experiments from the defense ministry's archives.
3.4	a report issued by security software vendor mcafee inc., said government-affiliated hackers in china are at the forefront of a brewing cyber cold war. 	vládni hackeri v Číne sú na čele rozvíjajúcej sa počítačovej studenej vojny.
3.6	zmluva obmedzuje počet lietadiel, tankov a iných nejadrových ťažkých zbraní po celej Európe a bola podpísaná prvýkrát v roku 1990.	zmluva obmedzuje počet lietadiel, tankov a iných nejadrových ťažkých zbraní v celej Európe.
1.8	veľa útokov malo pôvod v zahraničí.	estonian officials stated that the attacks originated in russia.
1.4	polícia zatkla 2 podozrivých z honduraského obchodovania s drogami.	bulharská polícia zatkla vedúceho skupiny pre obchodovanie s drogami.
